iter	Passed	Remaining
0	55	55441
1	56	28003
2	56	18843
3	57	14250
4	57	11503
5	58	9669
6	58	8358
7	59	7372
8	60	6609
9	60	5998
10	61	5496
11	61	5079
12	62	4726
13	62	4425
14	63	4162
15	63	3931
16	64	3730
17	65	3550
18	65	3387
19	66	3244
20	66	3113
21	67	2996
22	67	2885
23	68	2784
24	69	2693
25	69	2608
26	70	2529
27	70	2456
28	71	2387
29	71	2325
30	72	2264
31	72	2207
32	73	2156
33	74	2107
34	74	2060
35	75	2015
36	75	1972
37	76	1932
38	76	1894
39	77	1857
40	77	1822
41	78	1790
42	79	1759
43	79	1730
44	80	1701
45	80	1674
46	81	1649
47	81	1624
48	82	1609
49	83	1593
50	84	1571
51	85	1550
52	85	1529
53	86	1509
54	86	1490
55	87	1471
56	87	1453
57	88	1435
58	88	1418
59	89	1402
60	90	1385
61	90	1370
62	91	1355
63	91	1341
64	92	1327
65	92	1313
66	93	1299
67	93	1282
68	94	1270
69	94	1257
70	95	1245
71	95	1234
72	96	1223
73	96	1212
74	97	1201
75	97	1190
76	98	1181
77	99	1170
78	99	1161
79	100	1151
80	100	1142
81	101	1133
82	101	1124
83	102	1115
84	102	1104
85	103	1096
86	103	1086
87	104	1078
88	104	1071
89	105	1063
90	105	1056
91	106	1048
92	106	1041
93	107	1034
94	107	1027
95	108	1021
96	108	1014
97	109	1008
98	110	1001
99	110	995
100	111	989
101	111	981
102	111	975
103	112	969
104	113	964
105	113	958
106	114	953
107	114	948
108	115	942
109	115	937
110	116	931
111	116	926
112	117	921
113	117	916
114	118	911
115	118	905
116	119	901
117	119	896
118	120	891
119	120	886
120	121	882
121	121	877
122	122	871
123	122	867
124	123	862
125	123	858
126	124	855
127	124	849
128	125	845
129	125	842
130	126	838
131	126	834
132	127	830
133	127	827
134	128	823
135	129	819
136	129	816
137	129	811
138	130	808
139	131	805
140	131	802
141	132	798
142	132	795
143	133	792
144	133	789
145	134	785
146	134	782
147	135	779
148	135	776
149	136	773
150	137	770
151	137	767
152	138	764
153	138	761
154	139	758
155	139	755
156	140	752
157	140	749
158	141	747
159	141	744
160	142	741
161	142	739
162	143	736
163	143	734
164	144	731
165	145	728
166	145	726
167	146	723
168	146	721
169	147	718
170	147	716
171	148	714
172	148	712
173	149	709
174	150	707
175	150	705
176	151	703
177	151	700
178	152	698
179	152	696
180	153	692
181	153	690
182	154	688
183	154	686
184	155	683
185	155	681
186	156	679
187	156	677
188	157	675
189	157	673
190	158	671
191	159	669
192	159	667
193	160	665
194	160	663
195	161	661
196	161	659
197	162	657
198	162	655
199	163	654
200	164	653
201	165	652
202	165	651
203	166	649
204	167	649
205	168	649
206	169	647
207	169	646
208	170	644
209	171	643
210	171	642
211	172	640
212	172	638
213	173	637
214	174	636
215	174	634
216	175	633
217	176	632
218	176	630
219	177	629
220	178	628
221	178	627
222	179	625
223	180	623
224	180	622
225	181	622
226	182	621
227	183	619
228	183	618
229	184	616
230	184	614
231	185	612
232	185	610
233	186	609
234	186	607
235	187	605
236	187	603
237	188	602
238	188	600
239	189	598
240	189	596
241	189	594
242	190	593
243	190	591
244	191	589
245	191	587
246	192	586
247	192	584
248	193	583
249	193	581
250	194	579
