iter	Passed	Remaining
0	72	72708
1	81	40674
2	82	27262
3	84	21041
4	87	17447
5	88	14605
6	91	12913
7	93	11551
8	95	10477
9	95	9467
10	96	8646
11	96	7973
12	97	7388
13	97	6886
14	98	6450
15	100	6159
16	101	5867
17	102	5569
18	105	5423
19	106	5207
20	107	5034
21	109	4857
22	110	4695
23	111	4523
24	112	4399
25	113	4255
26	114	4121
27	115	3996
28	116	3889
29	116	3775
30	117	3664
31	118	3576
32	119	3499
33	120	3434
34	124	3445
35	125	3358
36	125	3276
37	128	3254
38	129	3186
39	130	3120
40	130	3055
41	131	2999
42	132	2947
43	133	2897
44	133	2839
45	134	2784
46	134	2730
47	135	2679
48	135	2631
49	136	2584
50	136	2539
51	136	2495
52	137	2453
53	137	2413
54	138	2374
55	138	2337
56	139	2301
57	139	2266
58	139	2232
59	140	2199
60	140	2167
61	141	2137
62	141	2108
63	142	2081
64	143	2067
65	144	2043
66	144	2017
67	145	1991
68	145	1966
69	146	1942
70	146	1918
71	147	1895
72	147	1873
73	147	1851
74	148	1830
75	148	1809
76	149	1789
77	149	1769
78	150	1750
79	150	1731
80	150	1713
81	151	1697
82	151	1678
83	152	1661
84	152	1644
85	153	1628
86	153	1612
87	154	1597
88	154	1581
89	154	1567
90	155	1554
91	156	1541
92	156	1528
93	157	1516
94	159	1518
95	160	1507
96	160	1495
97	161	1483
98	161	1471
99	162	1459
100	162	1448
101	163	1437
102	163	1427
103	164	1416
104	164	1406
105	165	1397
106	166	1387
107	167	1380
108	167	1370
109	168	1361
110	168	1352
111	169	1343
112	170	1336
113	170	1327
114	171	1319
115	172	1314
116	172	1304
117	173	1295
118	173	1286
119	174	1277
120	174	1268
121	174	1259
122	175	1250
123	175	1242
124	176	1234
125	176	1227
126	177	1219
127	177	1211
128	178	1205
129	179	1198
130	179	1191
131	180	1184
132	180	1177
133	181	1171
134	181	1164
135	182	1158
136	183	1155
137	183	1148
138	184	1142
139	185	1136
140	185	1131
141	186	1123
142	186	1117
143	187	1112
144	187	1106
145	188	1100
146	188	1095
147	189	1089
148	189	1084
149	190	1078
150	194	1092
151	194	1086
152	195	1080
153	195	1074
154	196	1068
155	196	1063
156	196	1057
157	197	1051
158	197	1046
159	198	1040
160	198	1034
161	198	1028
162	199	1023
163	199	1018
164	200	1014
165	201	1010
166	203	1015
167	203	1010
168	204	1005
169	204	1000
170	205	995
171	205	990
172	206	985
173	206	981
174	207	976
175	207	971
176	210	977
177	210	972
178	213	981
179	217	991
180	218	987
181	218	983
182	219	978
183	219	973
184	220	969
185	220	964
186	220	960
187	221	955
188	221	951
189	222	947
190	222	942
191	223	938
192	223	934
193	223	930
194	224	926
195	224	922
196	227	927
197	229	928
198	229	924
199	230	920
200	230	916
201	230	912
202	231	908
203	231	904
204	232	900
205	232	896
206	233	892
207	233	889
208	233	885
209	236	890
210	237	886
211	237	882
212	238	879
213	238	875
214	238	872
215	242	878
216	243	877
217	244	875
218	244	873
219	245	870
220	245	866
221	246	863
222	246	859
223	247	857
224	247	853
225	248	850
226	248	847
227	249	843
228	249	840
229	250	837
230	250	833
231	250	830
232	251	827
233	251	824
234	254	827
235	254	824
236	256	825
237	256	822
238	257	818
239	258	818
240	259	816
241	262	823
242	263	820
243	263	817
244	266	821
245	267	818
246	267	815
247	267	812
248	268	809
249	268	806
250	269	803
251	269	800
252	270	797
253	270	794
254	271	794
255	272	792
256	273	790
257	273	787
258	274	786
259	275	784
260	276	781
261	276	779
262	277	776
263	277	774
264	278	771
265	278	769
266	279	766
267	279	764
268	280	762
269	281	759
270	281	757
271	282	755
272	282	752
273	283	750
274	283	748
275	284	745
276	284	743
277	285	742
278	286	740
279	286	737
280	287	735
281	288	733
282	288	731
283	289	729
284	289	727
285	290	724
286	290	722
287	307	761
288	308	758
289	308	756
290	309	753
291	310	752
292	317	766
293	319	768
294	320	766
295	326	775
296	327	774
297	328	773
298	330	774
299	330	772
300	331	769
301	331	766
302	332	764
303	332	761
304	333	759
305	333	756
306	333	753
307	334	751
308	334	748
309	335	746
310	335	743
311	336	741
312	336	738
313	339	741
314	350	761
315	350	759
316	351	756
317	351	754
318	352	751
319	352	749
320	352	746
321	353	744
322	365	765
323	366	763
324	368	764
325	368	762
326	369	761
327	370	758
328	370	756
329	371	754
330	371	751
331	372	749
332	372	746
333	373	744
334	373	741
335	374	739
336	374	736
337	375	734
338	375	732
339	375	729
340	376	727
341	376	724
342	377	722
343	377	720
344	378	717
345	378	715
346	379	713
347	379	710
348	379	708
349	380	706
350	380	704
351	381	701
352	381	700
353	382	697
354	383	696
355	384	695
356	384	693
357	385	691
358	385	688
359	386	686
360	386	684
361	387	682
362	387	680
363	388	678
364	388	676
365	389	675
366	391	674
367	391	672
368	392	670
369	394	672
370	395	671
371	396	669
372	396	667
373	397	665
374	397	662
375	398	660
376	398	658
377	399	656
378	399	655
379	400	653
380	401	651
381	401	649
382	402	647
383	402	645
384	403	643
385	403	641
386	404	640
387	404	638
388	405	636
389	405	634
390	406	632
391	406	630
392	408	630
393	408	628
394	409	627
395	410	625
396	410	623
397	410	621
398	411	619
399	411	617
400	412	615
401	412	613
402	413	612
403	413	610
404	413	608
405	414	606
406	414	604
407	415	602
408	415	600
409	416	598
410	416	596
411	416	595
412	417	593
413	417	591
414	418	589
415	419	588
416	419	586
417	420	585
418	421	584
419	421	582
420	422	581
421	423	579
422	427	583
423	427	581
424	428	579
425	428	577
426	429	576
427	429	574
428	430	572
429	430	570
430	436	576
431	437	574
432	437	573
433	439	572
434	439	571
435	442	572
436	442	570
437	443	569
438	444	567
439	444	565
440	445	564
441	445	562
442	445	560
443	446	558
444	446	557
445	447	555
446	449	555
447	449	554
448	450	553
449	451	551
450	451	549
451	452	548
452	452	546
453	452	544
454	453	543
455	454	542
456	455	540
457	455	539
458	456	537
459	456	535
460	456	534
461	460	536
462	463	537
463	464	536
464	465	535
465	465	533
466	469	536
467	470	534
468	470	533
469	471	531
470	471	529
471	472	528
472	475	530
473	476	528
474	476	526
475	478	526
476	478	525
477	479	523
478	481	524
479	482	522
480	482	520
481	483	519
482	483	517
483	484	516
484	486	516
485	486	515
486	487	513
487	487	511
488	488	510
489	488	508
490	489	507
491	489	505
492	490	504
493	490	502
494	491	500
495	491	499
496	491	497
497	492	496
498	493	495
499	494	494
500	495	493
501	496	492
502	496	490
503	497	489
504	497	487
505	498	486
506	498	485
507	499	483
508	499	482
509	500	480
510	501	479
511	501	478
512	502	476
513	502	475
514	503	474
515	503	472
516	504	471
517	504	469
518	509	472
519	510	471
520	510	469
521	511	468
522	511	466
523	512	465
524	512	463
525	513	462
526	513	460
527	513	459
528	514	458
529	515	456
530	515	455
531	516	454
532	516	452
533	517	451
534	518	450
535	518	448
536	519	447
537	519	446
538	520	444
539	520	443
540	522	443
541	522	441
542	523	440
543	523	439
544	525	438
545	539	448
546	546	452
547	547	451
548	547	449
549	548	448
550	548	446
551	548	445
552	549	444
553	549	442
554	550	441
555	550	439
556	551	438
557	551	436
558	551	435
559	556	437
560	557	436
561	557	434
562	558	433
563	558	431
564	559	430
565	559	428
566	559	427
567	560	426
568	560	424
569	561	423
570	561	421
571	562	420
